Frequency (Hz)	Level (dB)
15.625000	-50.083591
31.250000	-52.899075
46.875000	-55.599392
62.500000	-55.750164
78.125000	-61.573406
93.750000	-52.994724
109.375000	-51.904434
125.000000	-53.324760
140.625000	-36.200333
156.250000	-21.706758
171.875000	-21.265802
187.500000	-34.076759
203.125000	-51.894714
218.750000	-65.477272
234.375000	-69.863976
250.000000	-56.509140
265.625000	-55.698990
281.250000	-64.550713
296.875000	-56.496216
312.500000	-30.864744
328.125000	-23.798820
343.750000	-28.569567
359.375000	-52.123371
375.000000	-66.454002
390.625000	-69.764450
406.250000	-76.940277
421.875000	-76.057259
437.500000	-66.178093
453.125000	-56.030323
468.750000	-47.706512
484.375000	-30.357708
500.000000	-28.634253
515.625000	-40.160294
531.250000	-59.613895
546.875000	-55.957344
562.500000	-57.196098
578.125000	-56.848091
593.750000	-56.525551
609.375000	-52.429203
625.000000	-49.883785
640.625000	-30.708750
656.250000	-21.605215
671.875000	-24.892271
687.500000	-46.966053
703.125000	-56.566967
718.750000	-53.157104
734.375000	-48.376259
750.000000	-50.019596
765.625000	-50.139362
781.250000	-38.553211
796.875000	-36.718060
812.500000	-17.392670
828.125000	-13.467930
843.750000	-22.566236
859.375000	-37.822403
875.000000	-40.600822
890.625000	-41.736958
906.250000	-46.616283
921.875000	-43.413795
937.500000	-46.579067
953.125000	-37.704906
968.750000	-29.217173
984.375000	-17.401796
1000.000000	-19.465889
1015.625000	-33.542648
1031.250000	-45.340275
1046.875000	-50.445709
1062.500000	-44.188023
1078.125000	-41.569855
1093.750000	-40.983799
1109.375000	-38.371464
1125.000000	-34.250202
1140.625000	-19.011387
1156.250000	-14.542380
1171.875000	-21.616825
1187.500000	-39.490631
1203.125000	-41.280598
1218.750000	-43.147533
1234.375000	-46.050148
1250.000000	-39.489292
1265.625000	-38.718052
1281.250000	-42.485310
1296.875000	-31.579943
1312.500000	-21.349123
1328.125000	-22.886490
1343.750000	-35.949104
1359.375000	-50.990261
1375.000000	-51.587692
1390.625000	-67.692856
1406.250000	-72.418144
1421.875000	-59.808338
1437.500000	-49.471958
1453.125000	-41.669552
1468.750000	-35.932411
1484.375000	-30.434195
1500.000000	-34.746658
1515.625000	-45.489101
1531.250000	-55.978180
1546.875000	-70.994385
1562.500000	-90.636345
1578.125000	-82.184021
1593.750000	-73.401169
1609.375000	-66.983192
1625.000000	-51.172329
1640.625000	-44.515682
1656.250000	-44.669975
1671.875000	-51.191288
1687.500000	-65.585388
1703.125000	-76.197144
1718.750000	-89.060699
1734.375000	-100.821228
1750.000000	-97.051094
1765.625000	-80.690422
1781.250000	-68.739250
1796.875000	-54.714134
1812.500000	-49.352764
1828.125000	-55.655968
1843.750000	-67.699928
1859.375000	-78.999390
1875.000000	-86.092911
1890.625000	-95.890747
1906.250000	-79.639137
1921.875000	-82.586700
1937.500000	-62.066139
1953.125000	-55.877430
1968.750000	-43.802460
1984.375000	-46.088619
2000.000000	-59.200092
2015.625000	-55.114220
2031.250000	-64.473877
2046.875000	-65.843849
2062.500000	-60.699673
2078.125000	-57.915546
2093.750000	-52.355156
2109.375000	-50.804321
2125.000000	-46.548321
2140.625000	-38.990108
2156.250000	-43.875141
2171.875000	-52.449135
2187.500000	-63.717731
2203.125000	-58.305546
2218.750000	-58.185326
2234.375000	-56.282738
2250.000000	-54.393639
2265.625000	-49.653896
2281.250000	-48.587704
2296.875000	-39.688202
2312.500000	-38.337864
2328.125000	-48.646339
2343.750000	-56.257755
2359.375000	-77.004921
2375.000000	-77.655060
2390.625000	-73.866058
2406.250000	-62.909206
2421.875000	-50.739216
2437.500000	-44.538216
2453.125000	-38.692902
2468.750000	-29.710871
2484.375000	-32.751209
2500.000000	-42.703735
2515.625000	-47.324085
2531.250000	-46.207085
2546.875000	-47.619793
2562.500000	-42.299835
2578.125000	-44.461281
2593.750000	-47.693554
2609.375000	-39.141281
2625.000000	-28.999434
2640.625000	-25.926655
2656.250000	-33.800617
2671.875000	-46.684200
2687.500000	-52.805931
2703.125000	-55.478676
2718.750000	-52.258053
2734.375000	-56.482323
2750.000000	-76.778076
2765.625000	-54.986847
2781.250000	-44.424259
2796.875000	-34.652355
2812.500000	-36.977562
2828.125000	-58.485073
2843.750000	-55.421459
2859.375000	-53.772350
2875.000000	-50.667900
2890.625000	-49.133812
2906.250000	-53.067425
2921.875000	-54.704620
2937.500000	-46.950901
2953.125000	-43.130119
2968.750000	-40.759239
2984.375000	-47.844990
3000.000000	-56.754539
3015.625000	-55.317848
3031.250000	-60.143581
3046.875000	-72.163254
3062.500000	-84.460724
3078.125000	-97.490120
3093.750000	-82.323082
3109.375000	-74.929329
3125.000000	-60.635044
3140.625000	-54.994213
3156.250000	-55.116188
3171.875000	-60.932678
3187.500000	-73.713448
3203.125000	-79.904045
3218.750000	-80.282738
3234.375000	-62.331669
3250.000000	-57.158096
3265.625000	-58.487156
3281.250000	-59.101749
3296.875000	-50.186127
3312.500000	-56.830891
3328.125000	-70.793053
3343.750000	-80.942894
3359.375000	-94.825172
3375.000000	-79.870834
3390.625000	-63.018913
3406.250000	-56.731735
3421.875000	-57.117657
3437.500000	-60.897293
3453.125000	-62.609116
3468.750000	-64.260941
3484.375000	-64.712120
3500.000000	-68.219063
3515.625000	-81.578262
3531.250000	-90.890572
3546.875000	-100.085663
3562.500000	-89.946182
3578.125000	-84.034698
3593.750000	-75.695412
3609.375000	-66.497513
3625.000000	-52.134388
3640.625000	-49.725761
3656.250000	-57.512791
3671.875000	-55.202381
3687.500000	-52.689163
3703.125000	-61.066429
3718.750000	-58.103439
3734.375000	-63.000389
3750.000000	-57.561703
3765.625000	-49.993179
3781.250000	-44.921658
3796.875000	-52.234913
3812.500000	-55.159023
3828.125000	-52.843700
3843.750000	-56.799118
3859.375000	-56.186638
3875.000000	-60.751282
3890.625000	-64.227867
3906.250000	-59.006363
3921.875000	-62.938545
3937.500000	-64.559792
3953.125000	-65.299194
3968.750000	-57.501877
3984.375000	-59.403614
4000.000000	-69.702095
4015.625000	-72.102448
4031.250000	-84.535721
4046.875000	-92.932648
4062.500000	-71.301109
4078.125000	-66.153358
4093.750000	-65.937462
4109.375000	-66.135689
4125.000000	-71.257278
4140.625000	-88.036781
4156.250000	-92.633354
4171.875000	-98.615486
4187.500000	-97.704346
4203.125000	-94.737885
4218.750000	-89.573868
4234.375000	-72.552879
4250.000000	-66.940041
4265.625000	-67.074738
4281.250000	-66.540054
4296.875000	-71.865707
4312.500000	-62.351830
4328.125000	-69.671066
4343.750000	-75.766701
4359.375000	-73.445724
4375.000000	-67.746002
4390.625000	-73.867584
4406.250000	-72.123222
4421.875000	-65.204857
4437.500000	-71.243309
4453.125000	-69.268837
4468.750000	-75.590034
4484.375000	-87.083382
4500.000000	-108.195091
4515.625000	-104.380707
4531.250000	-101.338524
4546.875000	-97.738045
4562.500000	-92.001389
4578.125000	-74.872749
4593.750000	-69.884392
4609.375000	-64.948280
4625.000000	-72.968803
4640.625000	-60.937878
4656.250000	-64.648003
4671.875000	-75.841881
4687.500000	-67.155396
4703.125000	-64.222404
4718.750000	-68.347099
4734.375000	-66.158012
4750.000000	-64.665077
4765.625000	-73.791222
4781.250000	-63.065220
4796.875000	-69.822556
4812.500000	-74.094414
4828.125000	-76.496704
4843.750000	-73.667534
4859.375000	-68.688156
4875.000000	-74.054466
4890.625000	-74.021538
4906.250000	-67.773506
4921.875000	-71.871185
4937.500000	-67.457588
4953.125000	-64.939659
4968.750000	-66.904327
4984.375000	-74.840576
5000.000000	-86.511436
5015.625000	-95.984581
5031.250000	-91.620262
5046.875000	-74.088661
5062.500000	-68.575684
5078.125000	-69.921616
5093.750000	-70.171822
5109.375000	-62.163242
5125.000000	-67.987480
5140.625000	-79.521080
5156.250000	-92.708382
5171.875000	-103.180305
5187.500000	-99.679764
5203.125000	-88.201630
5218.750000	-74.451843
5234.375000	-65.871765
5250.000000	-64.821999
5265.625000	-70.082680
5281.250000	-67.252220
5296.875000	-70.490082
5312.500000	-73.166885
5328.125000	-71.829391
5343.750000	-71.417625
5359.375000	-76.867790
5375.000000	-74.600822
5390.625000	-70.898056
5406.250000	-70.046806
5421.875000	-63.349110
5437.500000	-58.508549
5453.125000	-65.712852
5468.750000	-76.155251
5484.375000	-79.441818
5500.000000	-86.849319
5515.625000	-74.096207
5531.250000	-69.971695
5546.875000	-72.327873
5562.500000	-73.218826
5578.125000	-72.341660
5593.750000	-56.591305
5609.375000	-54.447983
5625.000000	-59.883881
5640.625000	-61.328693
5656.250000	-76.554573
5671.875000	-68.173073
5687.500000	-72.051758
5703.125000	-76.475739
5718.750000	-86.098244
5734.375000	-68.457054
5750.000000	-58.312107
5765.625000	-54.515949
5781.250000	-58.370918
5796.875000	-95.537476
5812.500000	-64.730591
5828.125000	-85.865448
5843.750000	-68.898399
5859.375000	-64.150238
5875.000000	-67.692680
5890.625000	-76.911133
5906.250000	-68.668228
5921.875000	-65.044067
5937.500000	-63.172920
5953.125000	-68.242004
5968.750000	-61.856670
5984.375000	-60.906689
6000.000000	-67.339920
6015.625000	-67.173897
6031.250000	-71.281067
6046.875000	-69.750435
6062.500000	-62.341633
6078.125000	-63.319313
6093.750000	-68.248154
6109.375000	-70.520905
6125.000000	-66.566887
6140.625000	-69.199265
6156.250000	-64.459854
6171.875000	-69.600441
6187.500000	-69.216164
6203.125000	-69.550438
6218.750000	-73.644157
6234.375000	-71.960258
6250.000000	-63.917747
6265.625000	-65.124443
6281.250000	-73.293472
6296.875000	-75.626633
6312.500000	-89.421577
6328.125000	-98.240471
6343.750000	-81.279602
6359.375000	-77.190765
6375.000000	-74.513382
6390.625000	-67.434830
6406.250000	-68.635017
6421.875000	-60.880474
6437.500000	-68.588486
6453.125000	-62.182114
6468.750000	-62.879799
6484.375000	-70.869209
6500.000000	-67.554337
6515.625000	-65.672745
6531.250000	-69.200890
6546.875000	-69.770317
6562.500000	-68.880760
6578.125000	-63.434589
6593.750000	-62.923634
6609.375000	-69.900940
6625.000000	-63.269592
6640.625000	-64.366631
6656.250000	-67.049545
6671.875000	-73.116478
6687.500000	-68.394104
6703.125000	-74.315445
6718.750000	-65.823761
6734.375000	-65.395607
6750.000000	-63.911591
6765.625000	-69.378555
6781.250000	-63.871372
6796.875000	-62.515717
6812.500000	-66.257645
6828.125000	-76.296341
6843.750000	-66.880508
6859.375000	-68.510323
