Frequency (Hz)	Level (dB)
15.625000	-51.694183
31.250000	-52.354912
46.875000	-53.880295
62.500000	-60.456093
78.125000	-62.922707
93.750000	-54.071712
109.375000	-50.952553
125.000000	-50.503330
140.625000	-31.767420
156.250000	-16.851284
171.875000	-16.005869
187.500000	-28.197887
203.125000	-47.259109
218.750000	-57.881855
234.375000	-57.391544
250.000000	-72.023033
265.625000	-61.986877
281.250000	-54.863026
296.875000	-58.957603
312.500000	-26.891928
328.125000	-19.155344
343.750000	-23.104160
359.375000	-48.348602
375.000000	-54.093807
390.625000	-59.576042
406.250000	-59.365067
421.875000	-53.597527
437.500000	-53.005253
453.125000	-62.647999
468.750000	-37.796810
484.375000	-20.113741
500.000000	-17.389223
515.625000	-27.065422
531.250000	-44.066277
546.875000	-60.143387
562.500000	-58.044174
578.125000	-58.277370
593.750000	-72.461067
609.375000	-62.038692
625.000000	-49.819599
640.625000	-19.061312
656.250000	-10.748436
671.875000	-13.773518
687.500000	-35.593891
703.125000	-42.752308
718.750000	-60.999687
734.375000	-52.498657
750.000000	-61.303070
765.625000	-64.427155
781.250000	-52.436214
796.875000	-42.888313
812.500000	-35.633499
828.125000	-29.859249
843.750000	-36.282246
859.375000	-46.124809
875.000000	-53.838585
890.625000	-54.798508
906.250000	-60.582981
921.875000	-65.087402
937.500000	-51.713665
953.125000	-51.357883
968.750000	-36.410828
984.375000	-27.459908
1000.000000	-29.749474
1015.625000	-51.555206
1031.250000	-54.626282
1046.875000	-63.274200
1062.500000	-60.175045
1078.125000	-63.972691
1093.750000	-69.487045
1109.375000	-63.864071
1125.000000	-52.145760
1140.625000	-36.664700
1156.250000	-32.451523
1171.875000	-40.506744
1187.500000	-47.227055
1203.125000	-58.759251
1218.750000	-72.289612
1234.375000	-93.989029
1250.000000	-67.186516
1265.625000	-63.530785
1281.250000	-53.813961
1296.875000	-42.302357
1312.500000	-35.511978
1328.125000	-37.267303
1343.750000	-45.249241
1359.375000	-64.207718
1375.000000	-54.399189
1390.625000	-59.690716
1406.250000	-62.866272
1421.875000	-55.906342
1437.500000	-52.297127
1453.125000	-50.309097
1468.750000	-32.396832
1484.375000	-26.424084
1500.000000	-31.829243
1515.625000	-45.041752
1531.250000	-63.411484
1546.875000	-55.802616
1562.500000	-60.076675
1578.125000	-58.229706
1593.750000	-51.492077
1609.375000	-46.926231
1625.000000	-38.585789
1640.625000	-23.408382
1656.250000	-20.733528
1671.875000	-29.950418
1687.500000	-43.713902
1703.125000	-49.164696
1718.750000	-56.122486
1734.375000	-59.371632
1750.000000	-56.300018
1765.625000	-67.030678
1781.250000	-53.214825
1796.875000	-38.259781
1812.500000	-30.400841
1828.125000	-32.601845
1843.750000	-43.696796
1859.375000	-52.730415
1875.000000	-50.943523
1890.625000	-52.133228
1906.250000	-58.397034
1921.875000	-73.889687
1937.500000	-56.902885
1953.125000	-48.026379
1968.750000	-33.247860
1984.375000	-29.475197
2000.000000	-36.085457
2015.625000	-49.541328
2031.250000	-48.165154
2046.875000	-55.317913
2062.500000	-73.434525
2078.125000	-68.070862
2093.750000	-69.514534
2109.375000	-51.554012
2125.000000	-39.373981
2140.625000	-29.037500
2156.250000	-28.853502
2171.875000	-42.037289
2187.500000	-48.155548
2203.125000	-49.782291
2218.750000	-65.227501
2234.375000	-66.620903
2250.000000	-55.863510
2265.625000	-49.636593
2281.250000	-47.089027
2296.875000	-31.393559
2312.500000	-25.865200
2328.125000	-31.807766
2343.750000	-44.822693
2359.375000	-47.258587
2375.000000	-49.441292
2390.625000	-69.335541
2406.250000	-60.338291
2421.875000	-64.104332
2437.500000	-47.453743
2453.125000	-35.827385
2468.750000	-26.770985
2484.375000	-25.670084
2500.000000	-40.228149
2515.625000	-42.125114
2531.250000	-59.414116
2546.875000	-54.351162
2562.500000	-55.125584
2578.125000	-64.809296
2593.750000	-70.329872
2609.375000	-53.576450
2625.000000	-40.358978
2640.625000	-35.659714
2656.250000	-39.947269
2671.875000	-54.469810
2687.500000	-53.835613
2703.125000	-72.016068
2718.750000	-85.259499
