Frequency (Hz)	Level (dB)
15.625000	-75.603355
31.250000	-84.546303
46.875000	-70.414215
62.500000	-66.529037
78.125000	-87.815285
93.750000	-54.472912
109.375000	-63.394245
125.000000	-56.141945
140.625000	-45.270500
156.250000	-37.367256
171.875000	-14.619296
187.500000	-5.829329
203.125000	-8.818486
218.750000	-27.733490
234.375000	-47.815678
250.000000	-41.784397
265.625000	-47.634239
281.250000	-51.948502
296.875000	-60.588833
312.500000	-64.223808
328.125000	-63.944221
343.750000	-45.631371
359.375000	-31.596436
375.000000	-21.885469
390.625000	-23.176434
406.250000	-39.136429
421.875000	-51.844887
437.500000	-60.612236
453.125000	-68.326782
468.750000	-65.998360
484.375000	-73.290512
500.000000	-66.433121
515.625000	-62.572941
531.250000	-64.423996
546.875000	-50.107189
562.500000	-38.611794
578.125000	-36.914429
593.750000	-45.525684
609.375000	-60.658375
625.000000	-65.173691
640.625000	-70.435112
656.250000	-79.481796
671.875000	-76.044678
687.500000	-72.582802
703.125000	-77.616440
718.750000	-64.552498
734.375000	-60.095722
750.000000	-52.714146
765.625000	-51.584232
781.250000	-65.861397
796.875000	-62.488907
812.500000	-76.855774
828.125000	-89.081169
843.750000	-106.754784
859.375000	-107.777130
875.000000	-94.550499
890.625000	-83.371559
906.250000	-69.905418
921.875000	-61.857971
937.500000	-56.440090
953.125000	-52.727871
968.750000	-58.579262
984.375000	-69.405396
1000.000000	-73.614861
1015.625000	-83.340706
1031.250000	-79.269051
1046.875000	-83.752632
1062.500000	-75.293716
1078.125000	-75.108444
1093.750000	-77.034706
1109.375000	-63.467331
1125.000000	-59.023647
1140.625000	-55.439857
1156.250000	-59.462769
1171.875000	-68.656227
1187.500000	-73.333160
1203.125000	-73.125771
1218.750000	-76.804298
1234.375000	-87.263214
1250.000000	-96.829506
1265.625000	-93.098495
1281.250000	-100.443420
1296.875000	-77.161491
1312.500000	-66.397842
1328.125000	-58.363495
1343.750000	-58.590214
1359.375000	-68.391693
1375.000000	-76.440399
1390.625000	-75.036758
1406.250000	-77.955597
1421.875000	-89.068909
1437.500000	-82.549171
