Frequency (Hz)	Level (dB)
15.625000	-53.733997
31.250000	-56.226955
46.875000	-50.064098
62.500000	-52.109043
78.125000	-55.849388
93.750000	-52.934441
109.375000	-62.479465
125.000000	-52.064373
140.625000	-29.737841
156.250000	-20.253780
171.875000	-23.030846
187.500000	-44.332024
203.125000	-47.437141
218.750000	-55.218746
234.375000	-59.036968
250.000000	-51.929260
265.625000	-63.826954
281.250000	-55.034126
296.875000	-39.111301
312.500000	-24.747881
328.125000	-23.940348
343.750000	-35.968807
359.375000	-50.385921
375.000000	-63.364464
390.625000	-52.038891
406.250000	-52.515713
421.875000	-54.511032
437.500000	-63.161884
453.125000	-45.333107
468.750000	-24.278048
484.375000	-20.494440
500.000000	-29.265141
515.625000	-45.943245
531.250000	-57.171291
546.875000	-53.220165
562.500000	-54.538948
578.125000	-55.527016
593.750000	-47.706245
609.375000	-43.786808
625.000000	-18.592415
640.625000	-12.042274
656.250000	-17.158243
671.875000	-56.416672
687.500000	-47.452991
703.125000	-50.098408
718.750000	-47.807148
734.375000	-59.359730
750.000000	-49.826862
765.625000	-47.172272
781.250000	-34.142017
796.875000	-25.177530
812.500000	-27.650066
828.125000	-43.524666
843.750000	-46.039024
859.375000	-54.190666
875.000000	-55.612717
890.625000	-39.821800
906.250000	-42.102722
921.875000	-48.210705
937.500000	-24.612597
953.125000	-12.260189
968.750000	-12.191289
984.375000	-25.176491
1000.000000	-36.780605
1015.625000	-37.052792
1031.250000	-47.098324
1046.875000	-55.938705
1062.500000	-55.519844
1078.125000	-54.370480
1093.750000	-43.509979
1109.375000	-36.842342
1125.000000	-29.914774
1140.625000	-35.871662
1156.250000	-45.676781
1171.875000	-45.305588
1187.500000	-50.362923
1203.125000	-56.072044
1218.750000	-62.150833
1234.375000	-69.666039
1250.000000	-71.357597
1265.625000	-74.406120
1281.250000	-89.773422
1296.875000	-79.839195
1312.500000	-79.728798
1328.125000	-88.911835
1343.750000	-83.115936
1359.375000	-88.233147
1375.000000	-72.469795
1390.625000	-70.606300
1406.250000	-65.264061
1421.875000	-56.875450
1437.500000	-56.968975
1453.125000	-54.476551
1468.750000	-56.917667
1484.375000	-59.336445
1500.000000	-64.506104
1515.625000	-70.453613
1531.250000	-76.632103
1546.875000	-82.298500
1562.500000	-85.197433
1578.125000	-94.239441
1593.750000	-97.395035
1609.375000	-94.794846
1625.000000	-100.991859
1640.625000	-99.125618
1656.250000	-100.946335
1671.875000	-101.232971
1687.500000	-108.326920
1703.125000	-103.468719
1718.750000	-105.052124
1734.375000	-106.239746
1750.000000	-110.350021
1765.625000	-104.929924
1781.250000	-101.103210
1796.875000	-106.960831
1812.500000	-96.333221
1828.125000	-95.535835
1843.750000	-93.990318
1859.375000	-89.639511
1875.000000	-82.024643
1890.625000	-85.057686
1906.250000	-79.769638
1921.875000	-77.256042
1937.500000	-85.408081
1953.125000	-83.928520
1968.750000	-86.453842
1984.375000	-90.682800
2000.000000	-85.239967
2015.625000	-76.982285
2031.250000	-75.657021
2046.875000	-69.182594
2062.500000	-60.109558
2078.125000	-51.714264
2093.750000	-50.470970
2109.375000	-58.065678
2125.000000	-73.642944
2140.625000	-74.042114
2156.250000	-81.302727
2171.875000	-79.484543
2187.500000	-75.129089
2203.125000	-68.848183
2218.750000	-80.433609
2234.375000	-56.826965
2250.000000	-51.801567
2265.625000	-56.171112
2281.250000	-64.292168
2296.875000	-72.213303
2312.500000	-66.870720
2328.125000	-64.167747
2343.750000	-65.123772
2359.375000	-62.536491
2375.000000	-59.734615
2390.625000	-46.567966
2406.250000	-40.302994
2421.875000	-43.685154
2437.500000	-55.830647
2453.125000	-61.410831
2468.750000	-55.601673
2484.375000	-57.129711
2500.000000	-51.183304
2515.625000	-56.104641
2531.250000	-45.966366
2546.875000	-41.104893
2562.500000	-29.180323
