Frequency (Hz)	Level (dB)
15.625000	-81.565575
31.250000	-81.922165
46.875000	-76.457985
62.500000	-72.026649
78.125000	-76.390091
93.750000	-73.899170
109.375000	-63.179302
125.000000	-51.970291
140.625000	-49.532738
156.250000	-31.610979
171.875000	-14.714364
187.500000	-12.740155
203.125000	-22.931229
218.750000	-45.047943
234.375000	-51.973259
250.000000	-45.227200
265.625000	-45.335037
281.250000	-52.642601
296.875000	-51.493687
312.500000	-44.703018
328.125000	-38.241798
343.750000	-18.648148
359.375000	-7.765161
375.000000	-9.324481
390.625000	-24.123722
406.250000	-45.721302
421.875000	-46.010635
437.500000	-52.678867
453.125000	-55.057945
468.750000	-53.615070
484.375000	-50.374172
500.000000	-50.710808
515.625000	-42.384106
531.250000	-25.760595
546.875000	-19.062273
562.500000	-24.012119
578.125000	-42.790104
593.750000	-48.859653
609.375000	-55.051300
625.000000	-63.801456
640.625000	-70.173500
656.250000	-55.509594
671.875000	-51.119095
687.500000	-43.797924
703.125000	-29.844891
718.750000	-14.742658
734.375000	-13.578685
750.000000	-24.111786
765.625000	-37.922543
781.250000	-42.580940
796.875000	-46.434658
812.500000	-65.666878
828.125000	-63.154644
843.750000	-63.274067
859.375000	-66.391006
875.000000	-44.530346
890.625000	-41.016479
906.250000	-33.423321
921.875000	-37.802555
937.500000	-55.555916
953.125000	-60.795292
968.750000	-73.367088
984.375000	-76.804329
1000.000000	-78.706284
1015.625000	-81.523636
1031.250000	-82.337860
1046.875000	-67.092896
1062.500000	-56.831024
1078.125000	-46.391777
1093.750000	-40.096775
1109.375000	-45.672962
1125.000000	-60.136410
1140.625000	-68.779213
1156.250000	-81.032967
1171.875000	-86.393921
1187.500000	-90.207619
1203.125000	-93.893967
1218.750000	-82.714943
1234.375000	-74.017159
1250.000000	-59.103474
1265.625000	-50.309860
1281.250000	-50.994209
1296.875000	-56.939945
1312.500000	-59.762146
1328.125000	-74.136742
1343.750000	-81.824326
1359.375000	-101.366966
1375.000000	-108.805855
1390.625000	-100.756760
1406.250000	-90.862511
1421.875000	-84.340836
1437.500000	-68.608025
1453.125000	-62.152580
1468.750000	-62.108406
1484.375000	-68.633278
1500.000000	-83.967644
1515.625000	-92.729218
1531.250000	-112.814774
1546.875000	-119.127785
1562.500000	-113.021294
1578.125000	-95.265968
1593.750000	-82.915894
1609.375000	-72.219627
1625.000000	-60.322811
1640.625000	-54.742561
1656.250000	-60.049122
1671.875000	-71.637115
1687.500000	-82.556267
1703.125000	-94.092430
1718.750000	-121.440895
1734.375000	-106.822678
1750.000000	-99.684464
1765.625000	-98.715424
1781.250000	-77.050323
1796.875000	-72.936417
1812.500000	-62.122257
1828.125000	-66.033142
1843.750000	-80.502083
1859.375000	-85.605972
1875.000000	-93.798950
1890.625000	-103.606895
1906.250000	-99.659576
1921.875000	-98.758408
1937.500000	-89.725235
1953.125000	-77.615990
1968.750000	-70.830460
1984.375000	-75.620682
2000.000000	-60.147305
2015.625000	-59.370396
2031.250000	-73.939484
2046.875000	-73.344124
2062.500000	-79.780884
2078.125000	-87.424400
2093.750000	-101.293068
2109.375000	-89.278519
2125.000000	-81.297081
2140.625000	-75.545639
2156.250000	-65.299500
2171.875000	-63.730530
2187.500000	-61.344173
2203.125000	-61.793098
2218.750000	-76.456940
2234.375000	-76.777779
2250.000000	-89.046219
2265.625000	-77.585510
2281.250000	-73.829338
2296.875000	-74.154816
2312.500000	-72.139343
2328.125000	-70.685074
2343.750000	-59.196960
2359.375000	-51.835632
2375.000000	-50.778873
2390.625000	-60.206680
2406.250000	-69.166977
2421.875000	-82.169708
2437.500000	-81.312935
2453.125000	-86.922287
2468.750000	-67.511604
2484.375000	-64.023277
2500.000000	-60.495132
2515.625000	-59.154118
2531.250000	-70.430519
2546.875000	-54.264839
2562.500000	-52.233006
2578.125000	-56.828171
2593.750000	-61.695751
2609.375000	-65.743927
2625.000000	-77.860832
2640.625000	-90.979500
2656.250000	-88.588593
2671.875000	-80.339821
2687.500000	-65.889793
2703.125000	-58.280624
2718.750000	-57.144455
2734.375000	-53.818222
2750.000000	-53.616547
2765.625000	-59.317211
2781.250000	-64.023529
2796.875000	-67.190979
2812.500000	-79.545197
2828.125000	-100.095161
2843.750000	-87.678040
2859.375000	-88.433472
2875.000000	-88.378281
2890.625000	-89.263603
2906.250000	-74.160690
2921.875000	-60.065727
2937.500000	-54.525475
2953.125000	-54.603397
2968.750000	-60.175938
2984.375000	-73.489532
3000.000000	-87.133774
3015.625000	-85.225113
3031.250000	-73.885139
3046.875000	-59.764095
3062.500000	-52.522690
3078.125000	-50.589520
3093.750000	-46.864262
3109.375000	-43.009460
3125.000000	-48.151176
3140.625000	-52.442017
3156.250000	-58.710526
3171.875000	-64.215195
3187.500000	-61.240601
3203.125000	-58.148617
3218.750000	-61.543152
3234.375000	-59.605114
3250.000000	-50.781158
3265.625000	-46.037987
3281.250000	-37.897125
3296.875000	-37.678566
3312.500000	-42.709667
3328.125000	-54.433704
3343.750000	-57.127041
3359.375000	-62.140614
3375.000000	-63.620079
3390.625000	-59.594032
3406.250000	-61.091782
3421.875000	-56.608322
3437.500000	-49.441574
3453.125000	-45.613903
3468.750000	-37.329597
3484.375000	-40.020161
3500.000000	-46.575699
3515.625000	-53.453579
3531.250000	-57.689217
3546.875000	-55.764835
3562.500000	-55.816483
3578.125000	-63.051014
3593.750000	-72.702019
3609.375000	-66.263794
3625.000000	-59.051495
3640.625000	-47.063404
3656.250000	-44.522076
3671.875000	-49.624508
3687.500000	-55.746067
3703.125000	-69.853691
3718.750000	-76.825859
3734.375000	-86.478165
3750.000000	-89.477325
3765.625000	-77.946259
3781.250000	-67.328499
3796.875000	-60.522278
3812.500000	-60.357235
3828.125000	-67.025711
3843.750000	-82.959572
3859.375000	-90.280472
3875.000000	-112.300797
3890.625000	-118.793457
3906.250000	-127.190857
3921.875000	-115.524643
3937.500000	-125.322556
3953.125000	-122.017792
3968.750000	-116.025307
3984.375000	-117.827591
4000.000000	-135.782410
4015.625000	-120.607567
4031.250000	-116.727867
4046.875000	-118.108437
4062.500000	-127.796883
4078.125000	-123.162407
4093.750000	-119.104591
4109.375000	-125.233932
4125.000000	-129.365417
4140.625000	-137.494949
4156.250000	-125.300865
4171.875000	-132.268997
4187.500000	-127.863533
4203.125000	-126.140472
4218.750000	-131.880402
4234.375000	-124.514648
4250.000000	-121.828407
4265.625000	-134.186432
4281.250000	-121.615273
4296.875000	-122.846405
4312.500000	-120.393089
4328.125000	-118.682854
4343.750000	-117.694618
4359.375000	-116.661240
4375.000000	-121.107910
4390.625000	-131.973038
4406.250000	-132.089600
4421.875000	-123.325500
4437.500000	-125.512413
4453.125000	-125.048981
4468.750000	-130.617081
4484.375000	-131.006821
4500.000000	-117.725883
4515.625000	-105.253387
4531.250000	-95.798355
4546.875000	-80.549599
4562.500000	-74.187424
4578.125000	-74.142548
4593.750000	-80.409523
4609.375000	-97.634010
4625.000000	-100.267181
4640.625000	-100.141083
4656.250000	-98.062096
4671.875000	-80.459846
4687.500000	-74.156303
4703.125000	-74.161224
4718.750000	-80.887482
4734.375000	-95.454094
4750.000000	-102.468002
4765.625000	-110.547813
4781.250000	-103.386108
4796.875000	-96.795776
4812.500000	-79.658440
4828.125000	-73.462967
4843.750000	-72.532227
4859.375000	-73.056007
4875.000000	-76.820015
4890.625000	-76.548103
4906.250000	-65.918190
4921.875000	-59.439110
4937.500000	-58.978134
4953.125000	-66.280075
4968.750000	-71.371078
4984.375000	-65.575378
5000.000000	-70.851997
5015.625000	-79.715416
5031.250000	-76.558006
5046.875000	-81.084320
5062.500000	-98.199745
5078.125000	-106.632462
5093.750000	-115.443695
5109.375000	-110.966476
5125.000000	-115.496445
5140.625000	-126.094109
5156.250000	-117.941826
5171.875000	-115.442001
5187.500000	-113.881226
5203.125000	-113.896919
5218.750000	-104.496475
5234.375000	-94.437714
5250.000000	-80.437195
5265.625000	-75.172264
5281.250000	-72.885254
5296.875000	-64.484619
5312.500000	-63.774963
5328.125000	-67.482056
5343.750000	-69.238792
5359.375000	-73.536324
5375.000000	-72.683929
5390.625000	-71.645401
5406.250000	-71.893845
5421.875000	-71.317566
5437.500000	-64.456146
5453.125000	-60.541801
5468.750000	-53.443878
5484.375000	-51.338207
5500.000000	-52.068512
5515.625000	-54.591373
5531.250000	-60.537365
5546.875000	-63.054836
5562.500000	-68.081917
5578.125000	-82.408340
5593.750000	-78.399940
5609.375000	-75.471642
5625.000000	-76.075806
5640.625000	-70.600433
5656.250000	-63.804741
5671.875000	-58.855282
5687.500000	-59.975224
5703.125000	-65.765732
5718.750000	-71.305275
5734.375000	-84.939751
5750.000000	-77.452942
5765.625000	-72.202011
5781.250000	-72.248787
5796.875000	-79.051270
5812.500000	-69.647514
5828.125000	-67.065552
5843.750000	-69.586906
5859.375000	-77.544044
5875.000000	-91.623154
5890.625000	-100.962959
5906.250000	-107.940308
5921.875000	-122.072975
5937.500000	-100.151718
5953.125000	-93.588898
5968.750000	-78.000313
5984.375000	-71.302528
6000.000000	-71.005394
6015.625000	-61.017685
6031.250000	-55.936306
6046.875000	-56.502674
6062.500000	-64.796867
6078.125000	-76.091621
6093.750000	-65.726776
6109.375000	-65.145477
6125.000000	-68.857262
6140.625000	-70.896164
6156.250000	-66.944763
6171.875000	-61.323330
6187.500000	-58.358654
6203.125000	-56.510338
6218.750000	-57.901981
6234.375000	-61.148891
6250.000000	-84.017921
6265.625000	-72.945908
6281.250000	-69.863068
6296.875000	-66.190239
6312.500000	-65.072937
6328.125000	-68.316055
6343.750000	-68.674942
6359.375000	-68.432053
6375.000000	-63.881588
6390.625000	-57.176624
6406.250000	-56.828693
6421.875000	-62.703976
6437.500000	-64.757729
6453.125000	-73.591408
6468.750000	-67.357651
6484.375000	-68.602852
6500.000000	-69.766884
6515.625000	-70.272453
6531.250000	-66.225334
6546.875000	-62.645203
6562.500000	-63.665424
6578.125000	-62.871002
6593.750000	-66.377815
6609.375000	-71.799400
6625.000000	-85.670532
6640.625000	-67.170540
6656.250000	-66.304474
6671.875000	-65.636528
6687.500000	-67.179062
6703.125000	-69.691727
6718.750000	-67.701462
6734.375000	-65.083344
6750.000000	-65.209679
6765.625000	-68.213379
6781.250000	-76.807053
6796.875000	-78.645424
6812.500000	-71.257736
6828.125000	-71.388626
6843.750000	-78.012863
6859.375000	-93.557999
6875.000000	-101.294334
6890.625000	-107.998543
6906.250000	-109.681084
6921.875000	-117.486717
6937.500000	-124.303154
6953.125000	-127.321655
6968.750000	-119.874214
6984.375000	-115.955536
7000.000000	-111.789757
7015.625000	-109.778076
7031.250000	-106.998428
7046.875000	-107.704262
7062.500000	-106.977142
7078.125000	-109.642853
7093.750000	-107.544395
7109.375000	-97.530518
7125.000000	-88.144676
7140.625000	-75.104607
7156.250000	-69.223129
7171.875000	-69.248802
7187.500000	-75.206612
7203.125000	-87.760086
7218.750000	-94.868507
7234.375000	-77.543587
7250.000000	-71.756493
7265.625000	-70.076706
7281.250000	-66.759499
7296.875000	-64.371307
7312.500000	-63.545738
7328.125000	-61.641624
7343.750000	-65.543671
7359.375000	-72.714218
7375.000000	-85.953247
7390.625000	-92.369576
7406.250000	-78.037979
7421.875000	-73.959106
7437.500000	-73.560204
7453.125000	-74.760345
7468.750000	-76.607513
7484.375000	-69.134407
7500.000000	-63.029713
7515.625000	-66.837975
7531.250000	-71.072899
7546.875000	-73.263832
7562.500000	-77.494911
7578.125000	-89.109863
7593.750000	-76.669716
7609.375000	-71.008499
7625.000000	-69.647141
7640.625000	-66.024208
7656.250000	-63.496067
7671.875000	-62.195312
7687.500000	-60.107403
7703.125000	-60.518661
7718.750000	-68.288811
7734.375000	-67.521736
7750.000000	-71.565849
7765.625000	-76.434227
7781.250000	-69.533218
7796.875000	-68.957031
7812.500000	-77.019974
7828.125000	-64.278755
7843.750000	-61.383774
7859.375000	-60.357399
7875.000000	-63.444130
7890.625000	-72.249763
7906.250000	-61.826603
7921.875000	-64.073692
7937.500000	-68.186836
