Frequency (Hz)	Level (dB)
15.625000	-56.136047
31.250000	-50.050682
46.875000	-49.186321
62.500000	-56.625904
78.125000	-69.930771
93.750000	-58.238480
109.375000	-48.898636
125.000000	-44.948513
140.625000	-30.265198
156.250000	-14.713575
171.875000	-13.181564
187.500000	-24.250416
203.125000	-39.007084
218.750000	-56.030975
234.375000	-55.519115
250.000000	-62.370819
265.625000	-56.822289
281.250000	-72.995842
296.875000	-41.499073
312.500000	-24.882721
328.125000	-15.448011
343.750000	-17.840195
359.375000	-33.750256
375.000000	-52.179996
390.625000	-54.052898
406.250000	-58.708244
421.875000	-50.704254
437.500000	-46.062149
453.125000	-41.394863
468.750000	-24.264893
484.375000	-9.899565
500.000000	-6.629727
515.625000	-14.572555
531.250000	-28.851107
546.875000	-52.276848
562.500000	-55.964523
578.125000	-65.446129
593.750000	-63.307148
609.375000	-60.123547
625.000000	-61.999008
640.625000	-46.632439
656.250000	-35.479462
671.875000	-33.630699
687.500000	-45.932499
703.125000	-45.711109
718.750000	-51.409451
734.375000	-64.678215
750.000000	-86.492798
765.625000	-72.062508
781.250000	-59.619781
796.875000	-77.282295
812.500000	-45.992058
828.125000	-40.468044
843.750000	-44.184219
859.375000	-58.087944
875.000000	-65.897415
890.625000	-73.153290
906.250000	-81.498337
921.875000	-73.704704
937.500000	-73.027969
953.125000	-54.691616
968.750000	-46.850693
984.375000	-41.183037
1000.000000	-38.423374
1015.625000	-44.216103
1031.250000	-52.540012
1046.875000	-64.866951
1062.500000	-67.158661
1078.125000	-85.298141
1093.750000	-71.183472
1109.375000	-63.686703
1125.000000	-54.863632
1140.625000	-51.278957
1156.250000	-42.822887
1171.875000	-40.955803
1187.500000	-49.936535
1203.125000	-57.585949
1218.750000	-68.540970
1234.375000	-78.120667
1250.000000	-83.803780
1265.625000	-74.216057
1281.250000	-70.879883
1296.875000	-54.021233
1312.500000	-43.575779
1328.125000	-38.010715
1343.750000	-40.145859
1359.375000	-49.131939
1375.000000	-60.062943
1390.625000	-57.864262
1406.250000	-52.837589
1421.875000	-63.097874
1437.500000	-58.058029
1453.125000	-59.075378
1468.750000	-44.480782
1484.375000	-35.524857
1500.000000	-33.460293
1515.625000	-37.630772
1531.250000	-47.215832
1546.875000	-53.374664
1562.500000	-53.246082
1578.125000	-65.661278
1593.750000	-50.277081
1609.375000	-57.584515
1625.000000	-40.314022
1640.625000	-30.682219
1656.250000	-25.468357
1671.875000	-26.918526
1687.500000	-33.373280
1703.125000	-40.430099
1718.750000	-48.035046
1734.375000	-54.282284
1750.000000	-56.349060
1765.625000	-55.717258
1781.250000	-53.937637
1796.875000	-62.222706
1812.500000	-48.557846
1828.125000	-43.245953
1843.750000	-42.358665
1859.375000	-47.594219
1875.000000	-52.276833
1890.625000	-60.419147
1906.250000	-58.705189
1921.875000	-57.673092
1937.500000	-59.168896
1953.125000	-47.641777
1968.750000	-43.622845
1984.375000	-41.231579
2000.000000	-40.437996
2015.625000	-44.064178
2031.250000	-45.563202
2046.875000	-66.846031
2062.500000	-51.333153
2078.125000	-55.835625
2093.750000	-54.620056
2109.375000	-53.365211
2125.000000	-47.917625
2140.625000	-40.033665
2156.250000	-39.496365
2171.875000	-40.992928
2187.500000	-43.447674
2203.125000	-48.089935
2218.750000	-65.638481
